,mean,stddev
epoch,2452963.8,
period_1,3070,10
sma_2,54000,1000
ecc_2,0.38,0.02
inc_2,33.2,0.4
long_epoch_2,198.6,0.8
lan_2,51.9,0.8
pomega_2,267,2
mass_tot,1.3,0.09
diam_1,124,
diam_2,83,
