,time,dist,RA-Primary,DEC-Primary,Delta-RA,Delta-RA-err,Delta-DEC,Delta-DEC-err
0,2453856.90471,40.117979999999996,14.111169,-12.663219999999999,-1.24195,0.0557,0.43401000000000006,0.0557
1,2453856.93512,40.11804,14.111131,-12.66302,-1.27157,0.1066,0.30052,0.1066
2,2453856.9679900003,40.1181,14.111085999999998,-12.6628,-1.27121,0.13145,0.48053,0.13145
3,2453857.8406599998,40.11979,14.109947,-12.65703,-1.2079600000000001,0.1042,0.42277,0.1042
4,2453912.77315,40.621990000000004,14.055753,-12.386239999999999,-1.3948200000000002,0.118,0.5411,0.118
5,2453915.77197,40.66689,14.054389000000002,-12.37992,-1.34156,0.0954,0.48047,0.0954
6,2453915.78491,40.66708,14.054382999999998,-12.37989,-1.29349,0.1444,0.27694,0.1444
7,2453916.7524200003,40.68182,14.053989000000001,-12.3781,-1.2636,0.2231,0.43475,0.2231
8,2454152.972,40.67198,14.274728,-13.588379999999999,-1.04411,0.1192,0.66109,0.1192
9,2454153.01909,40.671240000000004,14.274707999999999,-13.588289999999999,-1.42588,0.108,0.5198699999999999,0.108
10,2454236.69683,40.16045,14.1843,-13.14494,-1.28695,0.1253,0.43756000000000006,0.1253
11,2454236.7319,40.16064,14.184257999999998,-13.144720000000001,-1.24527,0.0927,0.48996999999999996,0.0927
12,2454236.73668,40.16067,14.184253,-13.1447,-1.20359,0.17605,0.4504,0.17605
13,2454479.1587799997,41.35431,14.360731,-14.105429999999998,-0.6227199999999999,0.05565,0.24884,0.05565
14,2454479.16157,41.35427,14.360732999999998,-14.10544,-0.77954,0.0819,0.35023000000000004,0.0819
15,2455007.86103,40.535309999999996,14.328517000000002,-14.081010000000001,-0.70375,0.01245,0.07654,0.01245
16,2455007.8667099997,40.53539,14.328510999999999,-14.08099,-0.72467,0.0121,0.08021,0.0121
17,2455007.87239,40.535470000000004,14.328508,-14.080979999999998,-0.70099,0.0133,0.07414,0.0133
18,2455007.8780799997,40.53555,14.328505999999999,-14.080960000000001,-0.69901,0.0134,0.05665,0.0134
19,2455007.8837599996,40.53563,14.328503,-14.08094,-0.6886,0.0145,0.10722000000000001,0.0145
20,2455007.88945,40.535709999999995,14.328497,-14.080929999999999,-0.72216,0.01455,0.08457,0.01455
21,2455007.89516,40.535790000000006,14.328494000000001,-14.080910000000001,-0.68702,0.0147,0.06825,0.0147
22,2455214.1095,41.3215,14.543975,-15.1849,-0.9263899999999999,0.018,0.18045999999999998,0.018
23,2455214.11577,41.3214,14.543978,-15.184920000000002,-0.89089,0.0187,0.16255,0.0187
24,2455214.12202,41.321290000000005,14.543982999999999,-15.18494,-0.89909,0.0199,0.17622000000000002,0.0199
25,2455214.12827,41.32119,14.543985999999999,-15.18496,-0.89844,0.02035,0.16462000000000002,0.02035
26,2455214.13453,41.32108,14.543992000000001,-15.18498,-0.91243,0.01555,0.17624,0.01555
27,2455214.14081,41.32097,14.543994,-15.18501,-0.91374,0.0172,0.16935999999999998,0.0172
28,2455214.14708,41.32087,14.543997000000001,-15.185020000000002,-0.9203,0.01575,0.19723,0.01575
29,2455296.57644,40.16267,14.508460999999999,-15.04176,-1.0082200000000001,0.0279,0.27291,0.0279
30,2455296.5883,40.1626,14.508444,-15.04169,-1.00295,0.02975,0.23845,0.02975
31,2455296.59221,40.16258,14.508442,-15.041670000000002,-1.11194,0.0504,0.26595,0.0504
32,2455296.59483,40.16256,14.508439000000001,-15.04165,-1.02557,0.03915,0.19952999999999999,0.03915
33,2455296.59744,40.16254,14.508432999999998,-15.04164,-1.0307600000000001,0.04185,0.25571,0.04185
34,2455296.60267,40.16251,14.508428,-15.04161,-0.9884299999999999,0.04455,0.16975,0.04455
35,2455296.60543,40.162490000000005,14.508425,-15.04159,-1.00766,0.0281,0.27229000000000003,0.0281
36,2455304.87736,40.121359999999996,14.497842000000002,-14.993020000000001,-1.08602,0.0106,0.28661,0.0106
37,2455304.88361,40.12133,14.497835999999998,-14.99298,-1.09028,0.0106,0.25279,0.0106
38,2455304.88988,40.12131,14.497828,-14.992939999999999,-1.06935,0.00955,0.25955,0.00955
39,2455304.89615,40.12129,14.497819,-14.99291,-1.07671,0.00985,0.25848000000000004,0.00985
40,2455304.90242,40.12127,14.497810999999999,-14.992870000000002,-1.0762200000000002,0.0104,0.26723,0.0104
41,2455327.6757799997,40.11193,14.467494,-14.852139999999999,-1.09921,0.0093,0.29768,0.0093
42,2455327.68005,40.111940000000004,14.467489000000002,-14.85211,-1.10633,0.0166,0.27668000000000004,0.0166
43,2455327.68382,40.11195,14.467482999999998,-14.852089999999999,-1.09184,0.0181,0.32153000000000004,0.0181
44,2455327.6880900003,40.11197,14.467478,-14.852070000000001,-1.08756,0.00765,0.28936999999999996,0.00765
45,2455335.83483,40.14549,14.457003,-14.803070000000002,-1.09219,0.01135,0.29296,0.01135
46,2455335.8410799997,40.14552,14.456997,-14.80304,-1.0910600000000001,0.01435,0.29525,0.01435
47,2455335.8473400003,40.14555,14.456989000000002,-14.803,-1.11858,0.0153,0.2988,0.0153
