,mean,stddev
epoch,2453400.0,
period_1,1483,9
sma_2,34000,2000
ecc_2,0.85,0.01
inc_2,28.2,0.4
long_epoch_2,329,3
lan_2,27,2
pomega_2,253,3
mass_tot,1.4,0.3
diam_1,122,
diam_2,78,
