,mean,stddev
mass_1,3.8901069176777126e+17,6999999999999999.0
mass_2,1.909893082322288e+17,1.909893082322288e+16
sma_2,25500.0,500.0
ecc_2,0.275,0.01
aop_2,13.408102790574253,1.8
inc_2,55.024079913304824,1.2
lan_2,42.51898055019364,1.0
mea_2,182.2,1.0
j2r2_1,2726522,1.0
sprate_1,0.00017453292519943296,0.0
spinc_1,0.0,0.0
splan_1,0.0,0.0
