,mean,stddev
mass_1,1.0389724145875269e+18,1.038972414587527e+17
mass_2,9.910275854124733e+17,9.910275854124734e+16
sma_2,103500.0,300.0
ecc_2,0.45799999999999996,0.002
aop_2,251.20018888897505,0.3
inc_2,150.71606079702573,0.2
lan_2,241.40605848982662,0.2
mea_2,164.5,0.5
j2r2_1,20480.0,2048.0
c22r2_1,2048.0,204.8
j2r2_2,630.0,63.0
c22r2_2,63.0,6.300000000000001
spaop_1,251.20018888897505,0.3
spinc_1,105.71606079702573,0.2
splan_1,241.40605848982662,0.2
sprate_1,1.1054283424892638e-08,1.1054283424892638e-09
spaop_2,180.0,20.0
spinc_2,150.71606079702573,0.2
splan_2,241.40605848982662,0.2
sprate_2,1.1054283424892638e-08,1.1054283424892638e-09
