,mean,stddev
epoch,2454400.0,
period_1,110.18,0.02
sma_2,6670,40
ecc_2,0.563,0.006999999999999999
inc_2,25.6,0.2
long_epoch_2,126.5,0.5
lan_2,163.6,0.8
pomega_2,251,2
mass_tot,1.94,0.04
diam_1,160,
diam_2,92,
