,time,Lat_Prim,Long_Prim,DeltaLat_Hiiaka,DeltaLong_Hiiaka,DeltaLat_Hiiaka_err,DeltaLong_Hiiaka_err,DeltaLat_Namaka,DeltaLong_Namaka,DeltaLat_Namaka_err,DeltaLong_Namaka_err
0,2453746.525,26.781370362929632,192.17743935269473,0.8852219110994463,-0.6913002710692521,0.0025373271759225784,0.0022023129404202253,0.10533637465350801,0.06491447037517964,0.002628549393177025,0.0022792800521202407
1,2453746.554,26.78138847769379,192.177511180848,0.8874143005657311,-0.6938938194228755,0.002527728246523608,0.0022041272176376364,0.10497827087675424,0.06640246430186376,0.0026563863428110666,0.0023014017813541413
2,2454138.287,26.92986516793511,193.23155515004012,0.5858709593790357,-0.523350369438853,0.0019711089418413016,0.0021261244800259587,0.3318736181913986,-0.041324464307174166,0.003710130300972886,0.0056347529088858275
3,2454138.304,26.929871540931753,193.23159831434148,0.586796134170676,-0.5241378418743626,0.001966515581261475,0.0009813838515321477,0.32225143228871017,-0.0474397990635929,0.007562158493155936,0.0030058546064233114
4,2454138.351,26.92989065986702,193.2317278072924,0.5931122622909405,-0.5312790378870901,0.002083949215654942,0.0024747417557615444,0.3092100343118672,-0.042973247596911505,0.0055048725765315274,0.004536112199926968
5,2454138.368,26.929897032850928,193.23177097161613,0.5936287297341512,-0.5288667189014313,0.002223001861688984,0.001686884806891693,0.3160065205366337,-0.04169206093006949,0.0063929236881946645,0.004356643707924773
6,2454138.418,26.92991090632638,193.2319147124315,0.6038781232060416,-0.5322598314501161,0.002710995630436641,0.0012102480349648393,0.29544576883436474,-0.039252989611375994,0.003726628838742106,0.003303115001289169
7,2454138.435,26.92991727929641,193.23195787677838,0.6003940260736292,-0.5394448131951983,0.002539519325144941,0.0026559279544760518,0.28867938791529285,-0.0314261190518477,0.005227715934102961,0.004776292382761553
8,2454138.484,26.929936398169552,193.2320873698592,0.6071300510885939,-0.5398242059460295,0.0021691839729959337,0.0014224745786304812,0.2818191661185049,-0.029350770104163253,0.012845019408635704,0.0076085408660039955
9,2454138.501,26.92994277112683,193.2321305342285,0.6076431214525508,-0.5372302561599148,0.002864707103171548,0.00260998739486013,0.2841800231573698,-0.026621827689300794,0.004010233102525308,0.0043877917117717356
10,2454138.551,26.929965762721352,193.2322696662509,0.6117002397876041,-0.5410286261599195,0.002218018138789631,0.0013688983850223438,0.2676097098301243,-0.02078180526957364,0.005691732781678156,0.004341697979632117
11,2454138.567,26.929972135656282,193.23231283064743,0.6201238425689273,-0.5421375989030391,0.002208523745173429,0.0017525701966307693,0.26624452276265803,-0.017384649454522408,0.004609842721319069,0.002627867421375313
12,2454469.653,27.049930950760828,194.1258399669627,-0.9795038971828056,0.7272779062861847,0.007982695959614098,0.00406383306096781,0.3269942130182362,-0.11875459551167136,0.008037457711843178,0.005860490815284406
13,2454593.726,27.09354417401136,194.4612568732016,0.9698186958258652,-0.5590026751651219,0.004201539353036551,0.0030617558654936518,-0.6471247552987428,0.36705785928141216,0.007425148748690437,0.0050843129059030285
14,2454600.192,27.095788906226677,194.47874256374,0.2538431348763134,0.07559040567447779,0.004242060833390834,0.004256686052415051,0.28632331015674334,-0.08573812461169596,0.011100845409753507,0.00521379177655085
15,2454601.99,27.0964202524552,194.48360750403373,0.000667411323678025,0.2628276509604002,0.005093057166057582,0.006081919375258539,0.5276936762290617,-0.1907384329335639,0.006071011411813232,0.005264587573437855
16,2454603.788,27.097038571212764,194.48846740901237,-0.2580815895963011,0.45974429723941107,0.005496808343543376,0.002382966454778425,0.5901173443758624,-0.21082704385857803,0.004763866351463092,0.0032531728939794733
17,2454605.788,27.097734576001464,194.49388092181061,-0.5055658238566605,0.6426101890015422,0.00935033815970433,0.004755264684517403,0.2740430978830339,-0.04866613022653706,0.00606419545988432,0.0038744442953865376
18,2455375.655,27.350222895840407,196.58191930772853,,,,,-0.48841154473003484,0.3160148159816353,0.0015894343960910615,0.0014390306594912225
19,2455375.661,27.35023052170529,196.58193883482483,0.9147634372040907,-0.7121474272550883,0.0015342700485100555,0.0013537918062696945,,,,
20,2455375.673,27.350232805043877,196.5819726574961,,,,,-0.48611188844493236,0.3180603133983382,0.0033638467810036925,0.002785969512445434
21,2455375.719,27.35024728094781,196.58209365262417,,,,,-0.5150416838491689,0.31572703474294656,0.007599558331206611,0.002693932724796641
22,2455375.727,27.350245751335763,196.58211771175564,0.9211707498541984,-0.7141229948796024,0.0016108600583181962,0.0011006910662617775,,,,
23,2455375.737,27.350244221744408,196.58214177088303,,,,,-0.49520614290662485,0.3215742043964664,0.002431149939585032,0.0015268462838537444
24,2455375.786,27.350262510530964,196.58227252962442,,,,,-0.501523002315687,0.32223725195376757,0.002679219088046378,0.00137960635931348
25,2455375.793,27.350260980898646,196.58229658876644,0.925062143028074,-0.7174647020964252,0.0018691715624256226,0.001253583290321751,,,,
26,2455375.859,27.350285365890308,196.58247093384037,0.9278331819162161,-0.7205165597035925,0.0017679473648367977,0.0011707976030886885,,,,
27,2455375.9280000003,27.350304408238287,196.58265957459113,0.9319980433773795,-0.7199193865796021,0.001733387553511407,0.0013030847724777395,,,,
28,2455375.993,27.35032879308671,196.5828339198481,0.9405569601485769,-0.7213843902022775,0.0018541592784049,0.0012280364299625465,,,,
29,2455376.058,27.35034402236907,196.5830127971976,0.9462024647098346,-0.7229270762708288,0.0013551193720798822,0.0013833445921057682,,,,
30,2457155.338,27.80872531507428,201.4792586911291,1.1109211947569229,-0.7136075647995415,0.005665581314365771,0.003928389310275015,-0.2964790550440269,0.2375997553190164,0.0042711222600180405,0.0027575746746272014
31,2457203.995,27.8188582596343,201.6149674519019,1.072109916353555,-0.7153312064286478,0.0019948377911854407,0.0017100198139831436,0.3007289376606723,-0.10052080433009646,0.002005340812264523,0.0017159480991328793
