,time,Lat_Prim,Long_Prim,DeltaLat_Secondary,DeltaLong_Secondary,DeltaLat_Secondary_err,DeltaLong_Secondary_err,DeltaLat_Inner,DeltaLong_Inner,DeltaLat_Inner_err,DeltaLong_Inner_err
0,2453440.6903725215,3.467850738596338,190.73489510507156,0.2834030053369574,2.867323776679753,0.11399238031613176,0.1401918451717509,,,,
1,2453441.643936119,3.4682946137554467,190.71748996407118,0.26581382828130273,2.646682017745538,0.22516731894062064,0.20152004018002614,,,,
2,2453441.7418994852,3.468334716587159,190.7156881407943,0.5594718361198403,2.3916288981897433,0.3422148519751559,0.3452018808560436,,,,
3,2453475.411623252,3.469732751432752,190.0680937821665,0.29431187047297414,2.657053253784928,0.0618277400494405,0.0584283661290455,,,,
4,2453475.4360426804,3.469720747391153,190.06763074282554,0.4427139229052912,2.6482496875979,0.10343340345223441,0.11291965089101944,,,,
5,2453528.2877364582,3.4233687948828457,189.36963359206612,0.44659422878030597,2.473196964651902,0.024803202125995127,0.027882204162609205,,,,
6,2453528.379338346,3.4232553265082855,189.3691375296755,0.5043544823571722,2.4811544302638855,0.058332675805317195,0.055162735078676396,,,,
7,2454889.755322538,3.4091801451844717,196.18093635659494,0.14474918338507337,-1.4068737755825076,0.050814613926402484,0.043931322308632385,,,,
8,2454889.7609628895,3.4091865381353186,196.1808470977441,0.19883448711350837,-1.4925168295430753,0.05033157769514885,0.0546814741774171,,,,
9,2454889.772263593,3.409193905387094,196.1806816539802,0.13052723372233288,-1.4282489184556386,0.03732474570762035,0.039840761995651466,,,,
10,2454889.7779139453,3.409200298291018,196.18059239511695,0.16539056797544305,-1.3903012403683883,0.04297945217349504,0.0415884710949444,,,,
11,2454889.7877645586,3.4092060672389524,196.1804492660504,0.10368352159400018,-1.4426756189421888,0.044359021719670454,0.05105510228956978,,,,
12,2454889.7934149103,3.409216280478906,196.18036924793873,0.07100759239477838,-1.5084264022506257,0.042471742245964804,0.044901311957500224,,,,
13,2454952.634719504,3.415722459695728,195.02683516724503,0.013140521665988558,-1.6187520270487799,0.019063837110169454,0.014705329465820415,,,,
14,2454952.6412292384,3.4157209630585026,195.02672739133374,0.02724620547098766,-1.6238716796300225,0.018533476042424155,0.0178423304534879,,,,
15,2454952.6468890063,3.415723308328767,195.02662885170426,0.040890928882930666,-1.6362851704946721,0.02107780192168496,0.0205816027138259,,,,
16,2454952.652538775,3.4157164229236208,195.02653416534048,0.023814970920099654,-1.6458315891381101,0.02150952031562798,0.021541096534696113,,,,
