,time,Lat-Prim,Lon-Prim,deltaLat_Hiaka,deltaLon_Hiaka,eLat-Hiaka,eLon-Hiaka,deltaLat_Namaka,deltaLon_Namaka,eLat-Namaka,eLon-Namaka
0,2453746.525,26.781379466818205,192.17743472493007,0.18805696562225194,-0.31198825439659794,0.002481250652402731,0.0022250734041787184,-0.15364508454638326,0.11512291268949616,0.0026141097917594543,0.002319759148082661
1,2453746.554,26.781392362914165,192.1775207822516,0.1924333308892301,-0.31611571791225584,0.0025227107931065015,0.0021992304604263667,-0.158646575134469,0.114459980984156,0.002616317838638337,0.002265687387524131
2,2454138.287,26.929865164049254,193.23155515149827,0.11411961193630304,-0.2827642993204813,0.001975404602713061,0.002083559663520203,-0.5305687625437372,0.21028490099874458,0.003694644607883599,0.005712962844873611
3,2454138.304,26.929875409807128,193.23160795465267,0.11508773749682177,-0.28368324044341076,0.001965694738076065,0.0010011667977609254,-0.529076268556139,0.20434662076558877,0.007514305763127781,0.003031792229483662
4,2454138.351,26.929890655981122,193.2317278087505,0.12299694512165615,-0.29144900577875377,0.002064059191001566,0.0024691560772327815,-0.5212605328878794,0.2018993051199536,0.005538884907011405,0.004556571127572391
5,2454138.3680000002,26.92990090172351,193.2317806119338,0.12463756474261345,-0.2909487157153368,0.002232460522805334,0.0016854710903706595,-0.5234934344571229,0.2015452113644438,0.006348341277119107,0.00435397008396842
6,2454138.418,26.929920020645106,193.23191010494665,0.13148954879795838,-0.2973604239782433,0.0026740013768031166,0.0012092808321923583,-0.5103582728395395,0.19561464663921366,0.0037231214766518064,0.0032698055672757743
7,2454138.435,26.929926393615556,193.2319532692944,0.1348028391760181,-0.2960452212045394,0.0025345396832451707,0.0027175412327797724,-0.5110916331943827,0.1997077844681395,0.005170883442394781,0.004857276321687438
8,2454138.484,26.929936394283576,193.23208737131728,0.14104626099396,-0.30290668121179054,0.002163728532752358,0.0014179459858366381,-0.49898790510098934,0.19226742637513927,0.012687402486045518,0.007546463442805216
9,2454138.501,26.929946639993624,193.2321401745594,0.14417345315678176,-0.30419525736165004,0.0028450096876995014,0.0026517168286789446,-0.5031500804989264,0.19135666496328985,0.004001981353502993,0.004375233394030776
10,2454138.551,26.929965758835333,193.23226966770892,0.14876968361221543,-0.31028149642970876,0.002232387426685551,0.0013699840543619684,-0.4980756985219159,0.18684278570701793,0.00578466479849259,0.004360169965764909
