minor planet
and companion	type	semimajor axis (AU)	orbital period (yr)	eccentricity	diameter (km)	rotation period (hours)	semimajor axis (km)	orbital period (days)	diameter (km)	discovery
method	discovery date	announcement date
(66391) Moshup
(311066) 2004 DC	NEA APO	1.634	2.088	0.399	0.36	2.6	0.75	0.958	0.07	R	2 Jun 2006	2 Jun 2006
(136617) 1994 CC	NEA APO	1.638	2.096	0.417	0.62	2.389	1.729
6.13	1.243
8.38	0.11
0.08	R
R	12 Jun 2009
12 Jun 2009	19 Jun 2009
19 Jun 2009
(65803) Didymos	NEA APO	1.644	2.109	0.384	0.75	2.259	1.18	0.4963	0.17	LC	20 Nov 2003	28 Nov 2003
(53110) 1999 AR7	NEA AMO	1.644	2.109	0.214	1.4?	2.738	[3.8?]	1.305	>0.6?	LC	19 Dec 2015	Mar 2016
(69230) Hermes	NEA APO	1.655	2.129	0.624	0.6	13.894	[1.1?]	0.5789	0.54	R	18 Oct 2003	20 Oct 2003
(162000) 1990 OS	NEA APO	1.678	2.175	0.462	0.30	2.536	>0.6	0.88	0.045	R	5 Nov 2003	10 Nov 2003
(153958) 2002 AM31	NEA APO	1.703	2.223	0.452	0.45	2.817	1.5	1.096	0.11	R	12 Jul 2012	Jul 2012
(15745) Yuliya	NEA AMO	1.720	2.255	0.255	1.1?	3.250	[1.5]	0.489	>0.5	LC	26 Apr 2018	9 Jun 2018
(3122) Florence	NEA AMO	1.769	2.353	0.423	4.4	2.358	[5?]
[10?]	0.3
1.0	0.2
0.2	R
R	29 Aug 2017
29 Aug 2017	1 Sep 2017
1 Sep 2017
(138095) 2000 DK79	NEA AMO	1.777	2.368	0.414	2.2?	4.243	?	?	?	R	13 Nov 2013	Nov 2013
(26074) Carlwirtz	MCA	1.811	2.437	0.089	3.6?	2.459	[6?]	0.6713	?	LC	6 Jun 2013	Sep 2013
(51356) 2000 RY76	MCA	1.812	2.439	0.112	3.2?	2.557	[13?]	2.5854	0.7?	LC	8 Oct 2012	Mar 2013
(3309) Brorfelde	MB	1.817	2.450	0.053	4.9?	2.504	[9?]	0.7700	1.3	LC	25 Oct 2005	7 Nov 2005
2002 BM26	NEA AMO	1.832	2.481	0.444	0.6	2.7	[1.4?]	1.075	0.10	R	9 Feb 2002	11 Feb 2002
(5143) Heracles	NEA APO	1.834	2.483	0.772	3.6	2.706	[4]	0.646?	0.6	R	10 Dec 2011	13 Jul 2012
(523625) 2008 DG17	NEA APO	1.838	2.491	0.449	0.4?	?	?	?	?	R	Feb 2013	Mar 2013
(5407) 1992 AX	MCA	1.838	2.493	0.278	3.9	2.549	[6?]	0.5633	0.8	LC	7 Jan 1997	1997
(481532) 2007 LE	NEA APO	1.839	2.494	0.517	0.5	2.603	[1.4]	1.396	0.18	R	31 May 2012	Jun 2012
(69406) 1995 SX48	MB	1.844	2.504	0.022	3.12	4.486	[5?]	0.6713	0.6	LC	26 Dec 2013	Mar 2014
