name,period,period_err,a, a_err, e, e_err, i, i_err, lan, lan_err, pomega, pomega_err, mass_tot, mass_tot_err, mass_1, mass_2, mass_3
'26308 (1998 SM165)',130.154,0.003,11374,8,0.4732,0.0006,81.59,0.05,280.5,0.1,47.11,0.08,115.0,0.1,6.88,0.02
'Typhon and Echidna (42355 2002 CR46)',18.982,0.001,1580,20,0.507,0.009,42,2,11,1,254,2,354,1,0.87,0.03
'55637 (2002 UX25)',8.3095,0.0001,4750,40,0.18,0.02,63.1,0.3,142.0,0.3,206.1,0.3,213,1,123,3
'Logos and Zoe (58534 1997 CQ29)',309.9,0.2,8220,40,0.546,0.008,95.4,0.5,259.5,0.7,16.1,0.3,223.8,0.7,0.458,0.007
'60458 (2000 CM114)',24.825,0.001,2500,30,0.03,0.01,76,2,116,3,285,2,110,20,2.00,0.06
'Borasisi and Pabu (66652 1999 RZ253)',46.289,0.002,4530,10,0.470,0.002,54.3,0.3,214.5,0.5,70.4,0.4,238.8,0.6,3.44,0.03
'Sila and Nunam (79360 1997 CS29)',12.51006,0.00002,2770,10,0.026,0.006,103.7,0.3,16.9,0.2,140.6,0.2,343,5,10.8,0.2
'80806 (2000 CM105)',35.310,0.002,2300,40,0.02,0.01,43,2,13,2,208,2,150,40,0.77,0.04
'Teharonhiawako and Sawiskera (88611 2001 QT297)',828.8,0.2,27600,100,0.249,0.002,144.4,0.3,296,1,54.1,0.6,20,1,2.43,0.03
'Orcus and Vanth (90482 2004 DW)',9.53915,0.00002,9000,9,0.0009,0.0005,105.0,0.2,188.5,0.4,53.5,0.3,330,50,635,2
'Salacia and Actaea (120347 2004 SB60)',5.49388,0.00002,5720,30,0.010,0.004,23.6,0.4,303.8,0.4,45,1,130,20,492,7
'Eris and Dysnomia (136199 2003 UB313)',15.78590,0.00003,37270,50,0.0062,0.0009,45.5,0.1,125.8,0.2,126.2,0.2,310,10,16470,70
'Altjira (148780 2001 UQ18)',139.62,0.01,9960,30,0.349,0.003,35.1,0.2,224.8,0.2,312.7,0.3,101.1,0.6,4.02,0.04
'160256 (2002 PD149)',1675,3,26800,300,0.588,0.008,32.9,0.4,58.5,0.8,55,1,247,2,0.54,0.02
'Gǃkúnǁ’hòmdímà and Gǃò’é ǃhú (229762 2007 UK126)',11.3147,0.0002,6040,50,0.024,0.007,43.7,0.4,344,1,111,1,90,20,136,3
'275809 (2001 QY297)',138.118,0.006,9960,30,0.418,0.002,172.9,0.2,34,2,135,1,213,2,4.10,0.04
'Mors and Somnus (341520 2007 TY430)',972.2,0.5,20990,80,0.1494,0.0007,37.3,0.2,225.6,0.2,347.5,0.3,286,2,0.78,0.01
'364171 (2006 JZ81)',1483,9,34000,2000,0.85,0.01,28.2,0.4,329,3,27,2,253,3,1.4,0.3
'Manwë and Thorondor (385446 2003 QW111)',110.18,0.02,6670,40,0.563,0.007,25.6,0.2,126.5,0.5,163.6,0.8,251,2,1.94,0.04
'ǂKá̦gára and ǃHãunu (469705 2005 EF298)',128.11,0.03,7700,100,0.69,0.01,33.3,0.4,136.1,0.9,4.1,0.3,183.6,0.8,2.2,0.1
'508788 (2000 CQ114)',220.48,0.04,6940,30,0.095,0.005,32.1,0.6,62.3,0.7,106.3,0.7,113,4,0.545,0.008
'524366 (2001 XR254)',125.58,0.05,9310,50,0.556,0.005,41.1,0.2,152.0,0.3,341.2,0.3,246.3,0.9,4.06,0.07
'524531 (2002 XH91)',371.1,0.2,22400,400,0.71,0.02,29,2,274,3,278,2,70,1,6.5,0.4
'525462 (2005 EO304)',3541,3,69700,200,0.216,0.001,24.2,0.2,289.3,0.3,326.8,0.2,104,1,2.14,0.02
'1998 WW31',587.3,0.2,22620,40,0.819,0.002,41.4,0.4,30.8,0.3,94.6,0.7,348.5,0.6,2.66,0.01
'1999 OJ4',84.115,0.005,3310,20,0.368,0.004,53.6,0.7,37.5,0.9,276,1,330.2,0.6,0.405,0.006
'1999 RT214',126.50,0.05,3400,70,0.30,0.03,38,1,126,2,40,2,157,2,0.19,0.01
'2000 CF105',3960,10,33500,100,0.304,0.008,146.7,0.2,4.7,0.3,195.9,0.2,101.6,0.9,0.189,0.003
'2000 QL251',56.449,0.004,4990,20,0.489,0.004,127.7,0.6,145,1,109.2,0.8,151.7,0.9,3.09,0.03
'2001 QC298',19.2287,0.0001,3810,10,0.334,0.002,56.3,0.3,310.1,0.3,79.1,0.5,317.1,0.3,11.9,0.1
'2001 QW322',6590,10,103500,300,0.458,0.002,135.0,0.2,243.5,0.5,217.4,0.2,79.0,0.3,2.03,0.02
'2003 QY90',309.6,0.2,8550,100,0.663,0.009,41.8,0.6,313,1,113.6,0.4,287,1,0.52,0.02
'2003 TJ58',137.68,0.03,3830,50,0.516,0.008,39,2,58,2,199,3,85.0,0.7,0.236,0.009
'2003 UN284',3070,10,54000,1000,0.38,0.02,33.2,0.4,198.6,0.8,51.9,0.8,267,2,1.30,0.09
'2004 PB108',97.020,0.008,10400,80,0.438,0.003,89.0,0.6,168.5,0.6,122.0,0.7,351.9,0.5,9.5,0.2
'2006 BR284'
