,mean,stddev
mass_1,1.24e+18,7.000000000000001e+16
mass_2,0.0,0.0
sma_2,31600.0,600.0
ecc_2,0.9179999999999999,0.002
aop_2,155.3222677196869,1.0
inc_2,132.84739027141663,0.8
lan_2,111.29173365150632,0.8
mea_2,234.0,1.0
j2r2_1,12500.0,1250.0
c22r2_1,1250.0,125.0
j2r2_2,410.0,41.0
c22r2_2,41.0,4.1000000000000005
spaop_1,155.3222677196869,1.0
spinc_1,132.84739027141663,0.8
splan_1,111.29173365150632,0.8
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,177.84739027141663,0.8
splan_2,111.29173365150632,0.8
sprate_2,5.1212186667004315e-08,5.121218666700432e-09
