,Eris,Hercules,Dysnomia
mass,1.616e22,9.809e18,1.7e20
axis,1163.0,260.0,350.0
j2r2,100000.0,0.0,0.0
c22r2,0.0,0.0,0.0
sp_rate,1.608e-6,0,0
sp_obl,1.0838,0,0
sp_prc,3.4,0.0,0
sp_lon,2.3502,0.0,0
sma,0.00E+00,12354.0,37250
ecc,0.00E+00,0.243,0.006
inc,0.00E+00,0.5927,1.0838
aop,0.00E+00,1.99545,3.4998
lan,0.00E+00,2.3503,2.42896
mea,0.00E+00,3.666,2.3959
