,-3sigma,-2sigma,-1sigma,median,1sigma,2sigma,3sigma,mean,best fit
mass_1,-0.13054187367577286,-0.13054187367577286,-0.022115190818868036,0.4170099906373262,0.044077106446887615,0.07457535736160692,0.11780488321029842,0.41467082152862833,0.5348148738476246
mass_2,-0.20190132649877507,-0.20190132649877507,-0.14083630228387317,0.2734482476123625,0.07590498657900357,0.11939815578596202,0.11939815578596202,0.2618778794521424,0.3855476506669867
sma_2,-3772.482277285071,-3772.4822772850675,-2167.1619426500692,25756.888721217154,1234.3864112010087,1793.3693784538991,2765.950923348988,25419.456839329487,28522.83964456614
ecc_2,-0.013633171509894959,-0.013180532482114704,-0.01140948845152101,0.28380636766238,0.014867939776781691,0.05000585041511085,0.06151473143034103,0.2900323432831382,0.345321099092721
aop_2,-30.406608966107147,-29.991344050574448,-20.94008195776488,31.780890451524485,308.26307845103685,321.04002602733414,321.04002602733414,85.47764003443221,54.12332805796017
mass_2/mass_1,-0.49149862479185535,-0.49149862479185535,-0.19865763840292572,1.4967128673111043,1.571305804248964,2.5072066934867427,2.5072066934867427,1.8640501187486365,1.3871563551805068
period_2,-110.50341747746779,-110.50341747746779,-62.298044345879816,1359.7907889283874,22.741693104302158,762.7929361347151,762.7929361347151,1414.987566782554,1413.457328387815
a_timescale_2,-101365429844383.45,-101365429844383.45,-47187330035222.81,237055756206556.72,210559328796322.1,5199126130469089.0,5199126130469089.0,706762466940278.6,289525717893163.8
despin_timescale_2,-1668833545325.5732,-1668833545325.5732,-1025779613490.0732,7220251498269.019,595297062006.8008,53071440306018.72,53071440306018.73,11907924360393.043,9068351234878.059
e_timescale_2,-11.675446701273714,-11.675446701273714,-5.831747480929739,14.808650754319128,10.943513476921382,17.478623204178017,18.027099807086184,16.624666704720024,32.83575056140531
mass_tot,-0.32933217115170343,-0.32933217115170343,-0.14787933955864652,0.6873472092268442,0.1154858173426081,0.15548856319389381,0.2330153152877671,0.6765487009807707,0.9203625245146113
