,mean,stddev
epoch,2454300.0,
period_1,5.49388,2e-05
sma_2,5720,30
ecc_2,0.01,0.004
inc_2,23.6,0.4
long_epoch_2,303.8,0.4
lan_2,45,1
pomega_2,130,20
mass_tot,492,7
diam_1,854,
diam_2,286,
