,time,dist,RA-Primary,DEC-Primary,Delta-RA,Delta-RA-err,Delta-DEC,Delta-DEC-err
0,2453938.41493,43.15938,22.652317,15.83425,0.047060000000000005,0.0007,-0.10224,0.0005
1,2454295.37924,43.3728,22.730792,16.46775,0.02193,0.00391,-0.11084000000000001,0.01344
2,2454297.3297599996,43.34782,22.729267,16.47441,0.12370999999999999,0.00448,0.09208,0.00206
3,2454323.9641299997,43.07438,22.702514,16.48798,0.17781,0.002,0.0036299999999999995,0.00303
4,2454324.7786,43.06834,22.701558,16.48613,0.12785,0.00391,0.09402,0.0018800000000000002
5,2454324.90898,43.06739,22.701406,16.48583,0.10084,0.00863,0.09888999999999999,0.00316
6,2454346.9049299997,42.96765,22.674139,16.38824,0.10314000000000001,0.00358,0.09949,0.0034700000000000004
7,2454606.27369,44.2852,22.810119,16.65106,-0.10096000000000001,0.002,0.07422000000000001,0.002
8,2455176.77133,44.08289,22.755958,16.790670000000002,0.05801,0.00613,0.10558,0.003
9,2455411.90558,43.457409999999996,22.928128,18.43081,0.18274,0.003,0.01839,0.003
10,2456492.02668,43.94279,23.160222,20.249779999999998,-0.19689,0.1,-0.07799,0.1
11,2456529.0122,40.86095,22.996767000000002,-5.69939,-0.06779,0.1,0.11575999999999999,0.1
12,2457234.9939,43.981629999999996,23.296192,21.472189999999998,0.058679999999999996,0.00312,-0.08215,0.006540000000000001
13,2457606.96819,43.999520000000004,23.36345,22.06081,-0.18064000000000002,0.003,-0.05189,0.003
