,mean,stddev
epoch,2457000.0,
period_1,11.3147,0.0002
sma_2,6040,50
ecc_2,0.024,0.006999999999999999
inc_2,43.7,0.4
long_epoch_2,344,1
lan_2,111,1
pomega_2,90,20
mass_tot,136,3
diam_1,590,
diam_2,130,
