,geocentricTime,x,y,z
0,2453623.460350035,13004045836.574764,4932723562.896731,-3630820333.393275
1,2453707.380416155,13099074337.490452,4772148523.026016,-3619694307.17164
2,2453967.560622394,13010936206.362988,5030726902.528762,-3585151827.7775297
3,2453968.530623166,13009588111.007683,5028770988.311572,-3585022697.9795766
4,2453977.520630329,12998790570.989906,5009684690.601455,-3583828212.4728355
5,2453977.81063056,12998494487.508879,5009049924.802657,-3583792605.978088
6,2453978.440631062,12997861704.275984,5007643661.330734,-3583705540.5264187
7,2454325.025989362,13008355586.82455,5096820918.476053,-3537569538.0155916
8,2457051.111199445,13084855905.820642,5259752672.836221,-3169897749.9314775
9,2457051.181019521,13084997468.03706,5259875404.725656,-3169888897.592665
10,2457054.361342977,13091240860.429985,5265582921.064408,-3169457590.903454
11,2457054.432083054,13091374608.991058,5265714748.918636,-3169448385.553917
12,2458119.224710833,12960204812.985054,5373810207.578007,-3023675606.828581
13,2458119.423301056,12960704698.375538,5373933097.782847,-3023650482.0509443
14,2458121.20229305,12965168522.228226,5375062306.468621,-3023403585.7519727
15,2458127.171969743,12979905936.84638,5379894330.819747,-3022582760.4520507
16,2458128.364021079,12982795470.081236,5381051313.302652,-3022421040.580106
17,2458132.403335608,12992416871.6007,5385411623.978131,-3021866636.8820934
18,2458152.13673774,13034272467.8641,5416084307.526732,-3019153612.5961213
